date,value
2020-04-03,3.4
2020-04-04,4.0
2020-04-05,2.1
2020-04-06,2.7
2020-04-07,3.3
2020-04-08,3.2
2020-04-09,3.8
2020-04-10,1.9
2020-04-11,2.5
2020-04-12,3.1
2020-04-13,3.7
2020-04-14,4.3
2020-04-15,1.7
2020-04-16,2.3
2020-04-17,2.9
2020-04-18,3.5
2020-04-19,4.1
2020-04-20,2.2
2020-04-21,2.8
2020-04-22,2.7
2020-04-23,3.3
2020-04-24,3.9
2020-04-25,2.0
2020-04-26,2.6
2020-04-27,3.2
2020-04-28,3.8
2020-04-29,3.7
2020-04-30,1.8
2020-05-01,2.4
2020-05-02,3.0
2020-05-03,3.6
2020-05-04,4.2
2020-05-05,2.3
2020-05-06,2.2
2020-05-07,2.8
2020-05-08,3.4
2020-05-09,4.0
2020-05-10,2.1
2020-05-11,2.7
2020-05-12,3.3
2020-05-13,3.2
2020-05-14,3.8
2020-05-15,1.9
2020-05-16,2.5
2020-05-17,3.1
2020-05-18,3.7
2020-05-19,4.3
2020-05-20,1.7
2020-05-21,2.3
2020-05-22,2.9
2020-05-23,3.5
2020-05-24,4.1
2020-05-25,2.2
2020-05-26,2.8
2020-05-27,2.7
2020-05-28,3.3
2020-05-29,3.9
2020-05-30,2.0
2020-05-31,2.6
2020-06-01,3.2
2020-06-02,3.8
2020-06-03,3.7
2020-06-04,1.8
2020-06-05,2.4
2020-06-06,3.0
2020-06-07,3.6
2020-06-08,4.2
2020-06-09,2.3
2020-06-10,2.2
2020-06-11,2.8
2020-06-12,3.4
2020-06-13,4.0
2020-06-14,2.1
2020-06-15,2.7
2020-06-16,3.3
2020-06-17,3.2
2020-06-18,3.8
2020-06-19,1.9
2020-06-20,2.5
2020-06-21,3.1
2020-06-22,3.7
2020-06-23,4.3
2020-06-24,1.7
2020-06-25,2.3
2020-06-26,2.9
2020-06-27,3.5
2020-06-28,4.1
2020-06-29,2.2
2020-06-30,2.8
2020-07-01,2.7
2020-07-02,3.3
2020-07-03,3.9
2020-07-04,2.0
2020-07-05,2.6
2020-07-06,3.2
2020-07-07,3.8
2020-07-08,3.7
2020-07-09,1.8
2020-07-10,2.4
2020-07-11,3.0
2020-07-12,3.6
2020-07-13,4.2
2020-07-14,2.3
2020-07-15,2.2
2020-07-16,2.8
2020-07-17,3.4
2020-07-18,4.0
2020-07-19,2.1
2020-07-20,2.7
2020-07-21,3.3
2020-07-22,3.2
2020-07-23,3.8
2020-07-24,1.9
2020-07-25,2.5
2020-07-26,3.1
2020-07-27,3.7
2020-07-28,4.3
2020-07-29,1.7
2020-07-30,2.3
2020-07-31,2.9
2020-08-01,3.5
2020-08-02,4.1
2020-08-03,2.2
2020-08-04,2.8
2020-08-05,2.7
2020-08-06,3.3
2020-08-07,3.9
2020-08-08,2.0
2020-08-09,2.6
2020-08-10,3.2
2020-08-11,3.8
2020-08-12,3.7
2020-08-13,1.8
2020-08-14,2.4
2020-08-15,3.0
2020-08-16,3.6
2020-08-17,4.2
2020-08-18,2.3
2020-08-19,2.2
2020-08-20,2.8
2020-08-21,3.4
2020-08-22,4.0
2020-08-23,2.1
2020-08-24,2.7
2020-08-25,3.3
2020-08-26,3.2
2020-08-27,3.8
2020-08-28,1.9
2020-08-29,2.5
2020-08-30,3.1
2020-08-31,3.7
2020-09-01,4.3
2020-09-02,1.7
2020-09-03,2.3
2020-09-04,2.9
2020-09-05,3.5
2020-09-06,4.1
2020-09-07,2.2
2020-09-08,2.8
2020-09-09,2.7
2020-09-10,3.3
2020-09-11,3.9
2020-09-12,2.0
2020-09-13,2.6
2020-09-14,3.2
2020-09-15,3.8
2020-09-16,3.7
2020-09-17,1.8
2020-09-18,2.4
2020-09-19,3.0
2020-09-20,3.6
2020-09-21,4.2
2020-09-22,2.3
2020-09-23,2.2
2020-09-24,2.8
2020-09-25,3.4
2020-09-26,4.0
2020-09-27,2.1
2020-09-28,2.7
2020-09-29,3.3
2020-09-30,3.2
2020-10-01,3.8
2020-10-02,1.9
2020-10-03,2.5
2020-10-04,3.1
2020-10-05,3.7
2020-10-06,4.3
2020-10-07,1.7
2020-10-08,2.3
2020-10-09,2.9
2020-10-10,3.5
2020-10-11,4.1
2020-10-12,2.2
2020-10-13,2.8
2020-10-14,2.7
2020-10-15,3.3
2020-10-16,3.9
2020-10-17,2.0
2020-10-18,2.6
2020-10-19,3.2
2020-10-20,3.8
2020-10-21,3.7
2020-10-22,1.8
2020-10-23,2.4
2020-10-24,3.0
2020-10-25,3.6
2020-10-26,4.2
2020-10-27,2.3
2020-10-28,2.2
2020-10-29,2.8
2020-10-30,3.4
2020-10-31,4.0
2020-11-01,2.1
2020-11-02,2.7
2020-11-03,3.3
2020-11-04,3.2
2020-11-05,3.8
2020-11-06,1.9
2020-11-07,2.5
2020-11-08,3.1
2020-11-09,3.7
2020-11-10,4.3
2020-11-11,1.7
2020-11-12,2.3
2020-11-13,2.9
2020-11-14,3.5
2020-11-15,4.1
2020-11-16,2.2
2020-11-17,2.8
2020-11-18,2.7
2020-11-19,3.3
2020-11-20,3.9
2020-11-21,2.0
2020-11-22,2.6
2020-11-23,3.2
2020-11-24,3.8
2020-11-25,3.7
2020-11-26,1.8
2020-11-27,2.4
2020-11-28,3.0
2020-11-29,3.6
2020-11-30,4.2
2020-12-01,2.3
2020-12-02,2.2
2020-12-03,2.8
2020-12-04,3.4
2020-12-05,4.0
2020-12-06,2.1
2020-12-07,2.7
2020-12-08,3.3
2020-12-09,3.2
2020-12-10,3.8
2020-12-11,1.9
2020-12-12,2.5
2020-12-13,3.1
2020-12-14,3.7
2020-12-15,4.3
2020-12-16,1.7
2020-12-17,2.3
2020-12-18,2.9
2020-12-19,3.5
2020-12-20,4.1
2020-12-21,2.2
2020-12-22,2.8
2020-12-23,2.7
2020-12-24,3.3
2020-12-25,3.9
2020-12-26,2.0
2020-12-27,2.6
2020-12-28,3.2
2020-12-29,3.8
2020-12-30,3.7
2020-12-31,1.8
